--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sat Oct  7 19:08:27 2023
--------------------------------------------------------------------------------

{'name': 'loginwindow', 'pid': 362, 'username': 'root', 'vms': 400054.421875}
{'name': 'distnoted', 'pid': 565, 'username': 'shubhamborse', 'vms': 398603.484375}
{'name': 'cfprefsd', 'pid': 566, 'username': 'shubhamborse', 'vms': 398667.09375}
{'name': 'UserEventAgent', 'pid': 572, 'username': 'shubhamborse', 'vms': 398703.265625}
{'name': 'ContinuityCaptureAgent', 'pid': 579, 'username': 'shubhamborse', 'vms': 398702.03125}
{'name': 'lsd', 'pid': 580, 'username': 'shubhamborse', 'vms': 398707.578125}
{'name': 'lockoutagent', 'pid': 584, 'username': 'shubhamborse', 'vms': 398698.78125}
{'name': 'usernoted', 'pid': 586, 'username': 'shubhamborse', 'vms': 398708.0625}
{'name': 'rapportd', 'pid': 588, 'username': 'shubhamborse', 'vms': 398703.640625}
{'name': 'nsurlsessiond', 'pid': 589, 'username': 'shubhamborse', 'vms': 398708.25}
{'name': 'ContextStoreAgent', 'pid': 590, 'username': 'shubhamborse', 'vms': 398719.640625}
{'name': 'secd', 'pid': 593, 'username': 'shubhamborse', 'vms': 398923.328125}
{'name': 'usernotificationsd', 'pid': 595, 'username': 'shubhamborse', 'vms': 399913.6875}
{'name': 'universalaccessd', 'pid': 597, 'username': 'shubhamborse', 'vms': 399295.3125}
{'name': 'pboard', 'pid': 598, 'username': 'shubhamborse', 'vms': 398705.3125}
{'name': 'trustd', 'pid': 599, 'username': 'shubhamborse', 'vms': 398707.625}
{'name': 'AXVisualSupportAgent', 'pid': 600, 'username': 'shubhamborse', 'vms': 399923.59375}
{'name': 'accountsd', 'pid': 601, 'username': 'shubhamborse', 'vms': 398757.78125}
{'name': 'WiFiAgent', 'pid': 604, 'username': 'shubhamborse', 'vms': 398843.703125}
{'name': 'WindowManager', 'pid': 605, 'username': 'shubhamborse', 'vms': 400075.046875}
{'name': 'identityservicesd', 'pid': 606, 'username': 'shubhamborse', 'vms': 398743.6875}
{'name': 'NotificationCenter', 'pid': 607, 'username': 'shubhamborse', 'vms': 400234.546875}
{'name': 'sharedfilelistd', 'pid': 610, 'username': 'shubhamborse', 'vms': 398700.03125}
{'name': 'siriactionsd', 'pid': 617, 'username': 'shubhamborse', 'vms': 398704.28125}
{'name': 'tccd', 'pid': 618, 'username': 'shubhamborse', 'vms': 398705.96875}
{'name': 'fontd', 'pid': 619, 'username': 'shubhamborse', 'vms': 398698.59375}
{'name': 'bird', 'pid': 620, 'username': 'shubhamborse', 'vms': 398706.796875}
{'name': 'fontworker', 'pid': 622, 'username': 'shubhamborse', 'vms': 398720.4375}
{'name': 'Dock', 'pid': 626, 'username': 'shubhamborse', 'vms': 400165.203125}
{'name': 'ControlCenter', 'pid': 628, 'username': 'shubhamborse', 'vms': 400389.15625}
{'name': 'SystemUIServer', 'pid': 630, 'username': 'shubhamborse', 'vms': 399769.984375}
{'name': 'Finder', 'pid': 632, 'username': 'shubhamborse', 'vms': 400563.171875}
{'name': 'WallpaperAgent', 'pid': 636, 'username': 'shubhamborse', 'vms': 399829.140625}
{'name': 'Spotlight', 'pid': 640, 'username': 'shubhamborse', 'vms': 400815.921875}
{'name': 'ViewBridgeAuxiliary', 'pid': 641, 'username': 'shubhamborse', 'vms': 398827.40625}
{'name': 'fileproviderd', 'pid': 644, 'username': 'shubhamborse', 'vms': 398718.921875}
{'name': 'AMPDeviceDiscoveryAgent', 'pid': 645, 'username': 'shubhamborse', 'vms': 398706.359375}
{'name': 'corespotlightd', 'pid': 650, 'username': 'shubhamborse', 'vms': 400654.65625}
{'name': 'commerce', 'pid': 663, 'username': 'shubhamborse', 'vms': 398718.765625}
{'name': 'com.apple.CloudDocs.iCloudDriveFileProvider', 'pid': 674, 'username': 'shubhamborse', 'vms': 398697.875}
{'name': 'UIKitSystem', 'pid': 684, 'username': 'shubhamborse', 'vms': 400046.640625}
{'name': 'sharingd', 'pid': 694, 'username': 'shubhamborse', 'vms': 398775.078125}
{'name': 'familycircled', 'pid': 696, 'username': 'shubhamborse', 'vms': 398760.953125}
{'name': 'seserviced', 'pid': 704, 'username': 'shubhamborse', 'vms': 398667.328125}
{'name': 'akd', 'pid': 710, 'username': 'shubhamborse', 'vms': 398719.078125}
{'name': 'fmfd', 'pid': 712, 'username': 'shubhamborse', 'vms': 398806.546875}
{'name': 'StatusKitAgent', 'pid': 714, 'username': 'shubhamborse', 'vms': 398703.796875}
{'name': 'imagent', 'pid': 715, 'username': 'shubhamborse', 'vms': 398704.1875}
{'name': 'homed', 'pid': 716, 'username': 'shubhamborse', 'vms': 398914.796875}
{'name': 'useractivityd', 'pid': 723, 'username': 'shubhamborse', 'vms': 398698.734375}
{'name': 'mediaremoteagent', 'pid': 724, 'username': 'shubhamborse', 'vms': 398537.484375}
{'name': 'com.apple.Safari.History', 'pid': 725, 'username': 'shubhamborse', 'vms': 400235.078125}
{'name': 'avconferenced', 'pid': 726, 'username': 'shubhamborse', 'vms': 399804.078125}
{'name': 'com.apple.dock.extra', 'pid': 746, 'username': 'shubhamborse', 'vms': 399212.734375}
{'name': 'BiomeAgent', 'pid': 747, 'username': 'shubhamborse', 'vms': 398699.671875}
{'name': 'assistantd', 'pid': 751, 'username': 'shubhamborse', 'vms': 398760.234375}
{'name': 'amsaccountsd', 'pid': 760, 'username': 'shubhamborse', 'vms': 398701.671875}
{'name': 'WallpaperVideoExtension', 'pid': 762, 'username': 'shubhamborse', 'vms': 399388.34375}
{'name': 'passd', 'pid': 776, 'username': 'shubhamborse', 'vms': 398705.671875}
{'name': 'imklaunchagent', 'pid': 777, 'username': 'shubhamborse', 'vms': 398572.75}
{'name': 'PAH_Extension', 'pid': 779, 'username': 'shubhamborse', 'vms': 398689.28125}
{'name': 'corespeechd', 'pid': 783, 'username': 'shubhamborse', 'vms': 398741.84375}
{'name': 'Siri', 'pid': 789, 'username': 'shubhamborse', 'vms': 399894.703125}
{'name': 'icdd', 'pid': 790, 'username': 'shubhamborse', 'vms': 398689.796875}
{'name': 'AirPlayUIAgent', 'pid': 794, 'username': 'shubhamborse', 'vms': 399680.421875}
{'name': 'audioaccessoryd', 'pid': 796, 'username': 'shubhamborse', 'vms': 398704.78125}
{'name': 'diagnostics_agent', 'pid': 797, 'username': 'shubhamborse', 'vms': 398663.03125}
{'name': 'TextInputMenuAgent', 'pid': 799, 'username': 'shubhamborse', 'vms': 399945.984375}
{'name': 'Cloudflare WARP', 'pid': 806, 'username': 'shubhamborse', 'vms': 400139.84375}
{'name': 'ctkahp', 'pid': 811, 'username': 'shubhamborse', 'vms': 398665.640625}
{'name': 'storedownloadd', 'pid': 838, 'username': 'shubhamborse', 'vms': 398662.5625}
{'name': 'searchpartyuseragent', 'pid': 847, 'username': 'shubhamborse', 'vms': 398720.40625}
{'name': 'mdbulkimport', 'pid': 880, 'username': 'shubhamborse', 'vms': 398680.234375}
{'name': 'SiriNCService', 'pid': 951, 'username': 'shubhamborse', 'vms': 398916.21875}
{'name': 'PasswordBreachAgent', 'pid': 973, 'username': 'shubhamborse', 'vms': 398673.84375}
{'name': 'PowerChime', 'pid': 1015, 'username': 'shubhamborse', 'vms': 398770.15625}
{'name': 'AMPLibraryAgent', 'pid': 1131, 'username': 'shubhamborse', 'vms': 398770.421875}
{'name': 'mdwrite', 'pid': 1170, 'username': 'shubhamborse', 'vms': 398675.625}
{'name': 'mbuseragent', 'pid': 1278, 'username': 'shubhamborse', 'vms': 398502.171875}
{'name': 'assistant_service', 'pid': 1282, 'username': 'shubhamborse', 'vms': 398777.25}
{'name': 'storeaccountd', 'pid': 1291, 'username': 'shubhamborse', 'vms': 398665.578125}
{'name': 'universalAccessAuthWarn', 'pid': 1465, 'username': 'shubhamborse', 'vms': 399894.4375}
{'name': 'IMAutomaticHistoryDeletionAgent', 'pid': 1788, 'username': 'shubhamborse', 'vms': 398661.546875}
{'name': 'DiskUnmountWatcher', 'pid': 2195, 'username': 'shubhamborse', 'vms': 398502.4375}
{'name': 'Terminal', 'pid': 3060, 'username': 'shubhamborse', 'vms': 401003.09375}
{'name': 'zsh', 'pid': 3062, 'username': 'shubhamborse', 'vms': 399114.28125}
{'name': 'ThemeWidgetControlViewService', 'pid': 3073, 'username': 'shubhamborse', 'vms': 399314.765625}
{'name': 'knowledge-agent', 'pid': 4164, 'username': 'shubhamborse', 'vms': 398708.640625}
{'name': 'syncdefaultsd', 'pid': 4175, 'username': 'shubhamborse', 'vms': 398704.984375}
{'name': 'cloudd', 'pid': 4176, 'username': 'shubhamborse', 'vms': 398734.515625}
{'name': 'ScreenTimeAgent', 'pid': 4190, 'username': 'shubhamborse', 'vms': 398711.734375}
{'name': 'parsecd', 'pid': 4328, 'username': 'shubhamborse', 'vms': 398707.5625}
{'name': 'networkserviceproxy', 'pid': 4329, 'username': 'shubhamborse', 'vms': 398711.828125}
{'name': 'routined', 'pid': 4376, 'username': 'shubhamborse', 'vms': 398676.015625}
{'name': 'LinkedNotesUIService', 'pid': 4415, 'username': 'shubhamborse', 'vms': 398766.125}
{'name': 'gamecontrolleragentd', 'pid': 4500, 'username': 'shubhamborse', 'vms': 398649.078125}
{'name': 'CommCenter', 'pid': 4617, 'username': 'shubhamborse', 'vms': 398710.015625}
{'name': 'CoreLocationAgent', 'pid': 4618, 'username': 'shubhamborse', 'vms': 398806.671875}
{'name': 'callservicesd', 'pid': 4620, 'username': 'shubhamborse', 'vms': 398715.890625}
{'name': 'contactsd', 'pid': 4622, 'username': 'shubhamborse', 'vms': 398705.734375}
{'name': 'com.apple.FaceTime.FTConversationService', 'pid': 4623, 'username': 'shubhamborse', 'vms': 399067.546875}
{'name': 'dmd', 'pid': 4624, 'username': 'shubhamborse', 'vms': 398702.90625}
{'name': 'ManagedSettingsAgent', 'pid': 4625, 'username': 'shubhamborse', 'vms': 398631.140625}
{'name': 'Keychain Circle Notification', 'pid': 4628, 'username': 'shubhamborse', 'vms': 398718.921875}
{'name': 'cdpd', 'pid': 4629, 'username': 'shubhamborse', 'vms': 398696.984375}
{'name': 'triald', 'pid': 4632, 'username': 'shubhamborse', 'vms': 398701.25}
{'name': 'intelligentroutingd', 'pid': 4634, 'username': 'shubhamborse', 'vms': 398705.515625}
{'name': 'containermanagerd', 'pid': 4635, 'username': 'shubhamborse', 'vms': 398697.515625}
{'name': 'SafariBookmarksSyncAgent', 'pid': 4637, 'username': 'shubhamborse', 'vms': 398859.625}
{'name': 'suggestd', 'pid': 4638, 'username': 'shubhamborse', 'vms': 399038.390625}
{'name': 'sociallayerd', 'pid': 4639, 'username': 'shubhamborse', 'vms': 398690.78125}
{'name': 'ContextService', 'pid': 4640, 'username': 'shubhamborse', 'vms': 398803.671875}
{'name': 'neagent', 'pid': 4641, 'username': 'shubhamborse', 'vms': 398704.828125}
{'name': 'replayd', 'pid': 4642, 'username': 'shubhamborse', 'vms': 398715.0625}
{'name': 'calaccessd', 'pid': 4643, 'username': 'shubhamborse', 'vms': 398712.859375}
{'name': 'com.apple.hiservices-xpcservice', 'pid': 4644, 'username': 'shubhamborse', 'vms': 398538.15625}
{'name': 'itunescloudd', 'pid': 4652, 'username': 'shubhamborse', 'vms': 398729.046875}
{'name': 'CoreServicesUIAgent', 'pid': 4653, 'username': 'shubhamborse', 'vms': 400157.3125}
{'name': 'UsageTrackingAgent', 'pid': 4656, 'username': 'shubhamborse', 'vms': 398663.609375}
