--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sat Oct  7 19:26:15 2023
--------------------------------------------------------------------------------

{'username': 'root', 'name': 'loginwindow', 'pid': 362, 'vms': 400054.421875}
{'username': 'shubhamborse', 'name': 'distnoted', 'pid': 565, 'vms': 398603.484375}
{'username': 'shubhamborse', 'name': 'cfprefsd', 'pid': 566, 'vms': 398667.09375}
{'username': 'shubhamborse', 'name': 'UserEventAgent', 'pid': 572, 'vms': 398702.171875}
{'username': 'shubhamborse', 'name': 'ContinuityCaptureAgent', 'pid': 579, 'vms': 398702.03125}
{'username': 'shubhamborse', 'name': 'lsd', 'pid': 580, 'vms': 398707.578125}
{'username': 'shubhamborse', 'name': 'lockoutagent', 'pid': 584, 'vms': 398698.78125}
{'username': 'shubhamborse', 'name': 'usernoted', 'pid': 586, 'vms': 398708.0625}
{'username': 'shubhamborse', 'name': 'rapportd', 'pid': 588, 'vms': 398703.640625}
{'username': 'shubhamborse', 'name': 'nsurlsessiond', 'pid': 589, 'vms': 398709.34375}
{'username': 'shubhamborse', 'name': 'ContextStoreAgent', 'pid': 590, 'vms': 398719.765625}
{'username': 'shubhamborse', 'name': 'secd', 'pid': 593, 'vms': 398921.6875}
{'username': 'shubhamborse', 'name': 'usernotificationsd', 'pid': 595, 'vms': 399913.6875}
{'username': 'shubhamborse', 'name': 'universalaccessd', 'pid': 597, 'vms': 399295.3125}
{'username': 'shubhamborse', 'name': 'pboard', 'pid': 598, 'vms': 398705.34375}
{'username': 'shubhamborse', 'name': 'trustd', 'pid': 599, 'vms': 398707.625}
{'username': 'shubhamborse', 'name': 'AXVisualSupportAgent', 'pid': 600, 'vms': 399923.59375}
{'username': 'shubhamborse', 'name': 'accountsd', 'pid': 601, 'vms': 398757.78125}
{'username': 'shubhamborse', 'name': 'WiFiAgent', 'pid': 604, 'vms': 398843.703125}
{'username': 'shubhamborse', 'name': 'WindowManager', 'pid': 605, 'vms': 400075.046875}
{'username': 'shubhamborse', 'name': 'identityservicesd', 'pid': 606, 'vms': 398743.296875}
{'username': 'shubhamborse', 'name': 'NotificationCenter', 'pid': 607, 'vms': 400234.546875}
{'username': 'shubhamborse', 'name': 'sharedfilelistd', 'pid': 610, 'vms': 398700.03125}
{'username': 'shubhamborse', 'name': 'siriactionsd', 'pid': 617, 'vms': 398704.28125}
{'username': 'shubhamborse', 'name': 'tccd', 'pid': 618, 'vms': 398705.96875}
{'username': 'shubhamborse', 'name': 'fontd', 'pid': 619, 'vms': 398698.59375}
{'username': 'shubhamborse', 'name': 'bird', 'pid': 620, 'vms': 398706.796875}
{'username': 'shubhamborse', 'name': 'fontworker', 'pid': 622, 'vms': 398720.4375}
{'username': 'shubhamborse', 'name': 'Dock', 'pid': 626, 'vms': 400165.703125}
{'username': 'shubhamborse', 'name': 'ControlCenter', 'pid': 628, 'vms': 400389.15625}
{'username': 'shubhamborse', 'name': 'SystemUIServer', 'pid': 630, 'vms': 399769.984375}
{'username': 'shubhamborse', 'name': 'Finder', 'pid': 632, 'vms': 400563.171875}
{'username': 'shubhamborse', 'name': 'WallpaperAgent', 'pid': 636, 'vms': 399829.140625}
{'username': 'shubhamborse', 'name': 'Spotlight', 'pid': 640, 'vms': 400815.921875}
{'username': 'shubhamborse', 'name': 'ViewBridgeAuxiliary', 'pid': 641, 'vms': 398827.40625}
{'username': 'shubhamborse', 'name': 'fileproviderd', 'pid': 644, 'vms': 398718.921875}
{'username': 'shubhamborse', 'name': 'AMPDeviceDiscoveryAgent', 'pid': 645, 'vms': 398706.359375}
{'username': 'shubhamborse', 'name': 'corespotlightd', 'pid': 650, 'vms': 400654.65625}
{'username': 'shubhamborse', 'name': 'commerce', 'pid': 663, 'vms': 398718.765625}
{'username': 'shubhamborse', 'name': 'com.apple.CloudDocs.iCloudDriveFileProvider', 'pid': 674, 'vms': 398697.875}
{'username': 'shubhamborse', 'name': 'UIKitSystem', 'pid': 684, 'vms': 400046.640625}
{'username': 'shubhamborse', 'name': 'sharingd', 'pid': 694, 'vms': 398775.078125}
{'username': 'shubhamborse', 'name': 'familycircled', 'pid': 696, 'vms': 398760.953125}
