--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Oct  1 23:06:56 2023
--------------------------------------------------------------------------------

{'name': 'loginwindow', 'pid': 150, 'username': 'root', 'vms': 400311.03125}
{'name': 'distnoted', 'pid': 389, 'username': 'shubhamborse', 'vms': 398602.484375}
{'name': 'cfprefsd', 'pid': 390, 'username': 'shubhamborse', 'vms': 398666.90625}
{'name': 'UserEventAgent', 'pid': 393, 'username': 'shubhamborse', 'vms': 398699.984375}
{'name': 'lsd', 'pid': 398, 'username': 'shubhamborse', 'vms': 398705.046875}
{'name': 'BackgroundTaskManagementAgent', 'pid': 399, 'username': 'shubhamborse', 'vms': 398716.65625}
{'name': 'AXVisualSupportAgent', 'pid': 400, 'username': 'shubhamborse', 'vms': 400061.921875}
{'name': 'com.apple.sbd', 'pid': 401, 'username': 'shubhamborse', 'vms': 398674.609375}
{'name': 'CommCenter', 'pid': 402, 'username': 'shubhamborse', 'vms': 398707.65625}
{'name': 'APFSUserAgent', 'pid': 403, 'username': 'shubhamborse', 'vms': 398503.09375}
{'name': 'lockoutagent', 'pid': 404, 'username': 'shubhamborse', 'vms': 398696.359375}
{'name': 'nsurlsessiond', 'pid': 405, 'username': 'shubhamborse', 'vms': 398715.75}
{'name': 'usernoted', 'pid': 406, 'username': 'shubhamborse', 'vms': 398698.078125}
{'name': 'routined', 'pid': 407, 'username': 'shubhamborse', 'vms': 398704.0625}
{'name': 'rapportd', 'pid': 408, 'username': 'shubhamborse', 'vms': 398697.40625}
{'name': 'ContextStoreAgent', 'pid': 409, 'username': 'shubhamborse', 'vms': 398714.125}
{'name': 'csnameddatad', 'pid': 410, 'username': 'shubhamborse', 'vms': 398538.03125}
{'name': 'secinitd', 'pid': 411, 'username': 'shubhamborse', 'vms': 398703.40625}
{'name': 'secd', 'pid': 412, 'username': 'shubhamborse', 'vms': 398902.984375}
{'name': 'ScreenTimeAgent', 'pid': 413, 'username': 'shubhamborse', 'vms': 398717.890625}
{'name': 'CoreLocationAgent', 'pid': 414, 'username': 'shubhamborse', 'vms': 398821.09375}
{'name': 'assistantd', 'pid': 416, 'username': 'shubhamborse', 'vms': 398723.046875}
{'name': 'bird', 'pid': 417, 'username': 'shubhamborse', 'vms': 398697.875}
{'name': 'siriactionsd', 'pid': 418, 'username': 'shubhamborse', 'vms': 398845.265625}
{'name': 'networkserviceproxy', 'pid': 419, 'username': 'shubhamborse', 'vms': 398703.890625}
{'name': 'corespotlightd', 'pid': 420, 'username': 'shubhamborse', 'vms': 399356.25}
{'name': 'swcd', 'pid': 421, 'username': 'shubhamborse', 'vms': 398695.890625}
{'name': 'linkd', 'pid': 422, 'username': 'shubhamborse', 'vms': 398690.234375}
{'name': 'mobiletimerd', 'pid': 423, 'username': 'shubhamborse', 'vms': 398695.390625}
{'name': 'siriknowledged', 'pid': 424, 'username': 'shubhamborse', 'vms': 398702.78125}
{'name': 'pboard', 'pid': 425, 'username': 'shubhamborse', 'vms': 398673.65625}
{'name': 'dmd', 'pid': 426, 'username': 'shubhamborse', 'vms': 398700.609375}
{'name': 'WiFiAgent', 'pid': 428, 'username': 'shubhamborse', 'vms': 398820.453125}
{'name': 'tccd', 'pid': 429, 'username': 'shubhamborse', 'vms': 398703.765625}
{'name': 'sharedfilelistd', 'pid': 430, 'username': 'shubhamborse', 'vms': 398697.859375}
{'name': 'talagent', 'pid': 431, 'username': 'shubhamborse', 'vms': 398726.515625}
{'name': 'WindowManager', 'pid': 432, 'username': 'shubhamborse', 'vms': 400066.75}
{'name': 'containermanagerd', 'pid': 433, 'username': 'shubhamborse', 'vms': 398695.09375}
{'name': 'amsengagementd', 'pid': 436, 'username': 'shubhamborse', 'vms': 403054.484375}
{'name': 'accountsd', 'pid': 437, 'username': 'shubhamborse', 'vms': 398737.15625}
{'name': 'UsageTrackingAgent', 'pid': 438, 'username': 'shubhamborse', 'vms': 398659.734375}
{'name': 'fileproviderd', 'pid': 439, 'username': 'shubhamborse', 'vms': 398707.65625}
{'name': 'calaccessd', 'pid': 440, 'username': 'shubhamborse', 'vms': 398703.125}
{'name': 'fontd', 'pid': 441, 'username': 'shubhamborse', 'vms': 398696.171875}
{'name': 'fontworker', 'pid': 442, 'username': 'shubhamborse', 'vms': 398718.25}
{'name': 'TrustedPeersHelper', 'pid': 445, 'username': 'shubhamborse', 'vms': 399086.15625}
{'name': 'donotdisturbd', 'pid': 446, 'username': 'shubhamborse', 'vms': 398702.109375}
{'name': 'com.apple.siri.embeddedspeech', 'pid': 447, 'username': 'shubhamborse', 'vms': 398568.265625}
{'name': 'identityservicesd', 'pid': 448, 'username': 'shubhamborse', 'vms': 398721.703125}
{'name': 'homed', 'pid': 449, 'username': 'shubhamborse', 'vms': 398905.609375}
{'name': 'familycircled', 'pid': 450, 'username': 'shubhamborse', 'vms': 398745.03125}
{'name': 'callservicesd', 'pid': 452, 'username': 'shubhamborse', 'vms': 398711.1875}
{'name': 'NotificationCenter', 'pid': 453, 'username': 'shubhamborse', 'vms': 400239.046875}
{'name': 'syncdefaultsd', 'pid': 454, 'username': 'shubhamborse', 'vms': 398701.359375}
{'name': 'cloudd', 'pid': 455, 'username': 'shubhamborse', 'vms': 398729.109375}
{'name': 'akd', 'pid': 456, 'username': 'shubhamborse', 'vms': 398714.078125}
{'name': 'pkd', 'pid': 457, 'username': 'shubhamborse', 'vms': 398702.65625}
{'name': 'amsaccountsd', 'pid': 458, 'username': 'shubhamborse', 'vms': 398700.15625}
{'name': 'BiomeAgent', 'pid': 460, 'username': 'shubhamborse', 'vms': 398695.6875}
{'name': 'AppSSOAgent', 'pid': 461, 'username': 'shubhamborse', 'vms': 399953.15625}
{'name': 'contactsd', 'pid': 462, 'username': 'shubhamborse', 'vms': 398701.6875}
{'name': 'com.apple.hiservices-xpcservice', 'pid': 463, 'username': 'shubhamborse', 'vms': 398538.15625}
{'name': 'axassetsd', 'pid': 464, 'username': 'shubhamborse', 'vms': 398670.9375}
{'name': 'ViewBridgeAuxiliary', 'pid': 465, 'username': 'shubhamborse', 'vms': 398825.1875}
{'name': 'ctkd', 'pid': 466, 'username': 'shubhamborse', 'vms': 398695.609375}
{'name': 'coreauthd', 'pid': 467, 'username': 'shubhamborse', 'vms': 398696.609375}
{'name': 'CoreServicesUIAgent', 'pid': 468, 'username': 'shubhamborse', 'vms': 400201.3125}
{'name': 'sharingd', 'pid': 469, 'username': 'shubhamborse', 'vms': 398763.515625}
{'name': 'iconservicesagent', 'pid': 471, 'username': 'shubhamborse', 'vms': 398702.4375}
{'name': 'extensionkitservice', 'pid': 473, 'username': 'shubhamborse', 'vms': 398673.90625}
{'name': 'fmfd', 'pid': 474, 'username': 'shubhamborse', 'vms': 398714.0625}
{'name': 'ReportCrash', 'pid': 475, 'username': 'shubhamborse', 'vms': 398513.328125}
{'name': 'knowledge-agent', 'pid': 476, 'username': 'shubhamborse', 'vms': 398705.65625}
{'name': 'pbs', 'pid': 477, 'username': 'shubhamborse', 'vms': 398575.078125}
{'name': 'StatusKitAgent', 'pid': 478, 'username': 'shubhamborse', 'vms': 398700.515625}
{'name': 'spindump_agent', 'pid': 480, 'username': 'shubhamborse', 'vms': 398502.203125}
{'name': 'imagent', 'pid': 481, 'username': 'shubhamborse', 'vms': 398698.65625}
{'name': 'com.apple.geod', 'pid': 482, 'username': 'shubhamborse', 'vms': 398706.234375}
{'name': 'ContinuityCaptureAgent', 'pid': 483, 'username': 'shubhamborse', 'vms': 398696.859375}
{'name': 'com.apple.FaceTime.FTConversationService', 'pid': 484, 'username': 'shubhamborse', 'vms': 398955.125}
{'name': 'IMDPersistenceAgent', 'pid': 485, 'username': 'shubhamborse', 'vms': 398703.203125}
{'name': 'triald', 'pid': 486, 'username': 'shubhamborse', 'vms': 398697.078125}
{'name': 'useractivityd', 'pid': 488, 'username': 'shubhamborse', 'vms': 398696.3125}
{'name': 'mediaremoteagent', 'pid': 489, 'username': 'shubhamborse', 'vms': 398537.484375}
{'name': 'avconferenced', 'pid': 490, 'username': 'shubhamborse', 'vms': 399401.984375}
{'name': 'suggestd', 'pid': 491, 'username': 'shubhamborse', 'vms': 398994.4375}
{'name': 'HomeWidget', 'pid': 492, 'username': 'shubhamborse', 'vms': 398709.625}
{'name': 'Dock', 'pid': 494, 'username': 'shubhamborse', 'vms': 400133.796875}
{'name': 'ControlCenter', 'pid': 495, 'username': 'shubhamborse', 'vms': 400260.359375}
{'name': 'neagent', 'pid': 496, 'username': 'shubhamborse', 'vms': 398702.484375}
{'name': 'SystemUIServer', 'pid': 497, 'username': 'shubhamborse', 'vms': 399524.4375}
{'name': 'Finder', 'pid': 498, 'username': 'shubhamborse', 'vms': 400621.125}
{'name': 'Spotlight', 'pid': 501, 'username': 'shubhamborse', 'vms': 400250.03125}
{'name': 'ScreenTimeWidgetExtension', 'pid': 502, 'username': 'shubhamborse', 'vms': 398947.21875}
{'name': 'QuickLookUIService', 'pid': 503, 'username': 'shubhamborse', 'vms': 399301.296875}
{'name': 'replayd', 'pid': 504, 'username': 'shubhamborse', 'vms': 398657.640625}
{'name': 'sociallayerd', 'pid': 505, 'username': 'shubhamborse', 'vms': 398695.5}
{'name': 'com.apple.Safari.History', 'pid': 506, 'username': 'shubhamborse', 'vms': 400234.59375}
{'name': 'AMPDeviceDiscoveryAgent', 'pid': 508, 'username': 'shubhamborse', 'vms': 398667.375}
{'name': 'parsecd', 'pid': 509, 'username': 'shubhamborse', 'vms': 398705.8125}
{'name': 'com.apple.dock.extra', 'pid': 511, 'username': 'shubhamborse', 'vms': 399208.390625}
{'name': 'AudioComponentRegistrar', 'pid': 513, 'username': 'shubhamborse', 'vms': 398695.171875}
{'name': 'com.apple.quicklook.ThumbnailsAgent', 'pid': 515, 'username': 'shubhamborse', 'vms': 399206.515625}
{'name': 'com.apple.accessibility.mediaaccessibilityd', 'pid': 516, 'username': 'shubhamborse', 'vms': 398666.0625}
{'name': 'SafariBookmarksSyncAgent', 'pid': 519, 'username': 'shubhamborse', 'vms': 398857.421875}
{'name': 'iCloudNotificationAgent', 'pid': 520, 'username': 'shubhamborse', 'vms': 398715.4375}
{'name': 'CarbonComponentScannerXPC', 'pid': 521, 'username': 'shubhamborse', 'vms': 33222.62890625}
{'name': 'translationd', 'pid': 523, 'username': 'shubhamborse', 'vms': 398725.875}
{'name': 'ContextService', 'pid': 524, 'username': 'shubhamborse', 'vms': 398802.265625}
{'name': 'PasswordBreachAgent', 'pid': 525, 'username': 'shubhamborse', 'vms': 398663.453125}
{'name': 'WeatherWidget', 'pid': 526, 'username': 'shubhamborse', 'vms': 398866.1875}
{'name': 'CallHistoryPluginHelper', 'pid': 527, 'username': 'shubhamborse', 'vms': 398702.078125}
{'name': 'imklaunchagent', 'pid': 529, 'username': 'shubhamborse', 'vms': 398570.234375}
{'name': 'itunescloudd', 'pid': 532, 'username': 'shubhamborse', 'vms': 398742.875}
{'name': 'SafariLaunchAgent', 'pid': 533, 'username': 'shubhamborse', 'vms': 398695.671875}
{'name': 'passd', 'pid': 535, 'username': 'shubhamborse', 'vms': 398716.5625}
{'name': 'PAH_Extension', 'pid': 538, 'username': 'shubhamborse', 'vms': 398720.671875}
{'name': 'commerce', 'pid': 541, 'username': 'shubhamborse', 'vms': 398715.484375}
{'name': 'WiFiVelocityAgent', 'pid': 542, 'username': 'shubhamborse', 'vms': 398665.578125}
{'name': 'cdpd', 'pid': 544, 'username': 'shubhamborse', 'vms': 398694.796875}
{'name': 'colorsync.useragent', 'pid': 545, 'username': 'shubhamborse', 'vms': 398687.75}
{'name': 'com.apple.ColorSyncXPCAgent', 'pid': 546, 'username': 'shubhamborse', 'vms': 398503.03125}
{'name': 'Keychain Circle Notification', 'pid': 547, 'username': 'shubhamborse', 'vms': 398715.75}
{'name': 'ProtectedCloudKeySyncing', 'pid': 549, 'username': 'shubhamborse', 'vms': 398695.359375}
{'name': 'CloudKeychainProxy', 'pid': 550, 'username': 'shubhamborse', 'vms': 398665.875}
{'name': 'seserviced', 'pid': 551, 'username': 'shubhamborse', 'vms': 398651.25}
{'name': 'maild', 'pid': 553, 'username': 'shubhamborse', 'vms': 398696.609375}
